epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3371,1.75332,2.87213,1.79478,0.25828,0.32707,0.17893,0.07501,1.96322,4.31543,2.26246,0.0676102,0.000661017,0.000661017
2,60.8009,1.77233,2.42906,1.83767,0.38777,0.3386,0.28648,0.132,1.97214,4.95065,2.30211,0.0349435,0.00132765,0.00132765
3,82.0742,1.74291,2.29026,1.81101,0.34832,0.31709,0.29773,0.14778,2.0593,3.77254,2.37262,0.00227662,0.00199413,0.00199413
4,102.921,1.74663,2.31724,1.82235,0.39318,0.48537,0.41346,0.18699,1.97231,2.91993,2.194,0.00199951,0.00199951,0.00199951
5,123.831,1.69375,2.18737,1.77558,0.54371,0.37122,0.3971,0.19725,1.97588,2.69796,2.20605,0.00199913,0.00199913,0.00199913
6,144.074,1.66774,2.06435,1.74323,0.49777,0.51006,0.50574,0.24127,1.9508,2.23328,2.11719,0.00199864,0.00199864,0.00199864
7,165.88,1.66611,1.99411,1.76118,0.54981,0.52581,0.53912,0.27561,1.79526,2.29124,2.02865,0.00199805,0.00199805,0.00199805
8,187.049,1.65147,1.95282,1.74814,0.52205,0.51416,0.51289,0.26426,1.84478,3.32266,2.07396,0.00199734,0.00199734,0.00199734
9,206.897,1.65624,1.97579,1.74603,0.50789,0.58222,0.5573,0.29021,1.83445,1.93027,2.00162,0.00199653,0.00199653,0.00199653
10,228.047,1.59513,1.84557,1.69964,0.55965,0.63617,0.648,0.34392,1.70263,1.60722,1.92248,0.00199561,0.00199561,0.00199561
11,249.017,1.58998,1.80194,1.70774,0.69059,0.63045,0.67524,0.35836,1.68917,1.58292,1.88537,0.00199458,0.00199458,0.00199458
12,270.602,1.58179,1.78134,1.6805,0.60943,0.60632,0.64363,0.32674,1.77492,1.67189,1.96479,0.00199344,0.00199344,0.00199344
13,290.7,1.51844,1.67466,1.6423,0.69605,0.65993,0.68596,0.37545,1.67555,1.52587,1.89357,0.00199219,0.00199219,0.00199219
14,311.8,1.53292,1.67455,1.64816,0.69966,0.64419,0.69681,0.36679,1.74763,1.59659,1.93493,0.00199084,0.00199084,0.00199084
15,332.021,1.53091,1.62981,1.64682,0.66689,0.67167,0.70856,0.38353,1.66199,1.47169,1.87981,0.00198938,0.00198938,0.00198938
16,353.005,1.51812,1.60548,1.63187,0.70364,0.72667,0.74781,0.38725,1.67841,1.44663,1.90389,0.00198781,0.00198781,0.00198781
17,374.697,1.51325,1.59666,1.65133,0.7383,0.6668,0.71957,0.3835,1.69349,1.46928,1.8958,0.00198614,0.00198614,0.00198614
18,395.039,1.50349,1.62035,1.65174,0.74057,0.66674,0.74324,0.3982,1.72166,1.36844,1.92762,0.00198435,0.00198435,0.00198435
19,416.539,1.49669,1.55702,1.62072,0.65993,0.69871,0.72311,0.37633,1.71926,1.42936,1.90967,0.00198246,0.00198246,0.00198246
20,436.77,1.49505,1.54448,1.62669,0.73274,0.71981,0.75378,0.39462,1.71561,1.3581,1.8955,0.00198047,0.00198047,0.00198047
21,457.209,1.45231,1.45634,1.58171,0.75932,0.72595,0.76941,0.40624,1.72394,1.26552,1.91738,0.00197837,0.00197837,0.00197837
22,478.424,1.46248,1.46172,1.60116,0.75114,0.74812,0.76735,0.4172,1.65775,1.26088,1.86382,0.00197616,0.00197616,0.00197616
23,499.522,1.43246,1.44207,1.58393,0.70991,0.6911,0.71766,0.39546,1.65088,1.39652,1.84695,0.00197384,0.00197384,0.00197384
24,519.258,1.46928,1.4895,1.60384,0.74676,0.74233,0.76239,0.39402,1.74258,1.26029,1.93866,0.00197142,0.00197142,0.00197142
25,538.923,1.45295,1.4478,1.58921,0.76829,0.71507,0.78196,0.43031,1.64886,1.26197,1.88303,0.0019689,0.0019689,0.0019689
26,560.186,1.45136,1.43968,1.57925,0.7363,0.71602,0.76451,0.40868,1.67655,1.22455,1.8658,0.00196627,0.00196627,0.00196627
27,579.788,1.41231,1.40461,1.56091,0.76389,0.74767,0.79248,0.42837,1.64379,1.17926,1.86412,0.00196353,0.00196353,0.00196353
28,600.189,1.40243,1.38141,1.55608,0.74203,0.77648,0.80155,0.42554,1.64899,1.15934,1.86101,0.00196069,0.00196069,0.00196069
